Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Kansas,18.6,3.0,24.3,54.1
1996-01-01,Kansas,18.6,3.5,19.5,58.4
1997-01-01,Kansas,18.3,4.3,19.4,58.0
1998-01-01,Kansas,17.4,3.7,21.8,57.1
1999-01-01,Kansas,18.1,3.0,22.5,56.4
2000-01-01,Kansas,16.9,4.2,23.6,55.4
2001-01-01,Kansas,16.9,5.4,24.3,53.5
2002-01-01,Kansas,17.6,4.5,24.3,53.6
2003-01-01,Kansas,16.3,4.1,23.0,56.6
2004-01-01,Kansas,15.3,4.5,21.7,58.5
2005-01-01,Kansas,13.6,4.2,24.4,57.8
2006-01-01,Kansas,15.2,4.8,24.1,55.9
2007-01-01,Kansas,13.7,4.2,23.3,58.8
2008-01-01,Kansas,13.2,4.7,23.2,59.0
2009-01-01,Kansas,13.2,4.6,23.3,58.8
2010-01-01,Kansas,11.9,5.1,24.2,58.8
2011-01-01,Kansas,11.44,5.055,25.03,58.44
2012-01-01,Kansas,10.97,5.113,25.22,58.67
2013-01-01,Kansas,10.58,5.208,25.44,58.74
2014-01-01,Kansas,10.19,5.276,25.67,58.84
2015-01-01,Kansas,9.8,5.343,25.87,58.96
2016-01-01,Kansas,9.42,5.41,26.07,59.07
2017-01-01,Kansas,9.05,5.476,26.26,59.18
2018-01-01,Kansas,8.68,5.54,26.45,59.3
2019-01-01,Kansas,8.32,5.603,26.63,59.41
