Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Kentucky,24.9,2.7,22.3,50.1
1996-01-01,Kentucky,27.9,3.8,23.2,45.2
1997-01-01,Kentucky,27.6,3.1,23.5,45.8
1998-01-01,Kentucky,28.0,2.8,22.9,46.3
1999-01-01,Kentucky,25.6,4.2,23.2,47.1
2000-01-01,Kentucky,26.8,3.7,23.0,46.5
2001-01-01,Kentucky,26.2,4.7,23.6,45.5
2002-01-01,Kentucky,29.1,3.5,22.0,45.5
2003-01-01,Kentucky,26.8,4.0,22.5,46.7
2004-01-01,Kentucky,23.0,4.5,20.4,52.1
2005-01-01,Kentucky,23.5,5.2,24.0,47.3
2006-01-01,Kentucky,24.3,4.3,24.3,47.2
2007-01-01,Kentucky,23.5,4.7,23.9,47.9
2008-01-01,Kentucky,20.5,4.7,25.3,49.5
2009-01-01,Kentucky,20.6,5.0,25.3,49.1
2010-01-01,Kentucky,19.3,5.5,26.0,49.2
2011-01-01,Kentucky,19.28,5.277,26.16,49.28
2012-01-01,Kentucky,19.36,5.218,26.36,49.06
2013-01-01,Kentucky,19.4,5.168,26.37,49.07
2014-01-01,Kentucky,19.45,5.15,26.39,49.01
2015-01-01,Kentucky,19.5,5.134,26.37,49.0
2016-01-01,Kentucky,19.54,5.126,26.35,48.98
2017-01-01,Kentucky,19.58,5.118,26.33,48.97
2018-01-01,Kentucky,19.61,5.111,26.32,48.96
2019-01-01,Kentucky,19.65,5.106,26.3,48.95
