Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Louisiana,21.1,4.0,22.3,52.7
1996-01-01,Louisiana,21.9,4.0,21.5,52.7
1997-01-01,Louisiana,19.2,5.3,21.9,53.6
1998-01-01,Louisiana,20.5,5.0,19.8,54.7
1999-01-01,Louisiana,18.7,4.8,20.7,55.8
2000-01-01,Louisiana,18.6,5.5,19.5,56.5
2001-01-01,Louisiana,19.0,5.6,19.9,55.4
2002-01-01,Louisiana,19.0,4.9,19.2,57.0
2003-01-01,Louisiana,20.4,6.2,20.7,52.7
2004-01-01,Louisiana,16.9,6.6,20.0,56.5
2005-01-01,Louisiana,16.4,6.1,21.0,56.5
2006-01-01,Louisiana,17.7,5.7,20.1,56.4
2007-01-01,Louisiana,16.9,5.7,20.2,57.1
2008-01-01,Louisiana,16.0,4.5,19.9,59.7
2009-01-01,Louisiana,16.4,5.7,23.2,54.7
2010-01-01,Louisiana,15.9,6.2,22.0,56.0
2011-01-01,Louisiana,16.63,6.665,21.86,54.79
2012-01-01,Louisiana,16.24,6.179,20.36,57.21
2013-01-01,Louisiana,16.49,6.103,20.68,56.69
2014-01-01,Louisiana,16.55,5.883,20.54,57.01
2015-01-01,Louisiana,16.8,5.853,20.76,56.56
2016-01-01,Louisiana,16.93,5.8,20.74,56.52
2017-01-01,Louisiana,17.05,5.799,20.78,56.36
2018-01-01,Louisiana,17.11,5.783,20.74,56.35
2019-01-01,Louisiana,17.15,5.779,20.73,56.32
