Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Maine,22.2,2.5,27.2,48.1
1996-01-01,Maine,22.6,2.8,27.8,46.9
1997-01-01,Maine,19.8,2.9,31.0,46.3
1998-01-01,Maine,19.4,2.9,31.3,46.4
1999-01-01,Maine,19.8,3.5,29.5,47.2
2000-01-01,Maine,20.7,3.1,29.9,46.3
2001-01-01,Maine,18.2,5.7,31.9,44.2
2002-01-01,Maine,19.6,4.0,33.4,43.1
2003-01-01,Maine,19.7,3.9,31.1,45.2
2004-01-01,Maine,17.0,3.9,31.3,47.8
2005-01-01,Maine,15.9,4.9,30.1,49.1
2006-01-01,Maine,15.9,5.0,30.4,48.7
2007-01-01,Maine,16.2,4.0,30.8,49.1
2008-01-01,Maine,14.0,4.1,31.7,50.1
2009-01-01,Maine,12.5,4.7,31.1,51.6
2010-01-01,Maine,13.9,4.3,30.2,51.6
2011-01-01,Maine,13.54,4.416,30.2,51.8
2012-01-01,Maine,13.32,4.491,30.16,51.99
2013-01-01,Maine,13.12,4.507,30.2,52.13
2014-01-01,Maine,12.93,4.534,30.18,52.32
2015-01-01,Maine,12.75,4.555,30.16,52.49
2016-01-01,Maine,12.59,4.573,30.14,52.66
2017-01-01,Maine,12.44,4.59,30.11,52.82
2018-01-01,Maine,12.29,4.605,30.09,52.97
2019-01-01,Maine,12.16,4.619,30.06,53.12
