Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Maryland,18.0,3.1,20.6,58.3
1996-01-01,Maryland,17.9,3.0,23.4,55.7
1997-01-01,Maryland,17.6,2.9,22.8,56.8
1998-01-01,Maryland,16.7,5.7,24.2,53.4
1999-01-01,Maryland,15.5,4.8,24.2,55.5
2000-01-01,Maryland,15.2,5.3,23.5,56.0
2001-01-01,Maryland,15.3,5.8,24.7,54.2
2002-01-01,Maryland,16.3,5.6,23.7,54.4
2003-01-01,Maryland,15.2,4.9,23.7,56.2
2004-01-01,Maryland,14.6,5.0,23.0,57.5
2005-01-01,Maryland,13.4,5.5,22.9,58.3
2006-01-01,Maryland,13.0,4.7,22.6,59.7
2007-01-01,Maryland,11.5,5.6,23.7,59.3
2008-01-01,Maryland,10.6,4.3,24.2,60.9
2009-01-01,Maryland,10.4,4.8,23.4,61.5
2010-01-01,Maryland,10.5,4.7,23.9,60.9
2011-01-01,Maryland,10.31,4.795,23.6,61.37
2012-01-01,Maryland,9.86,5.002,23.57,61.61
2013-01-01,Maryland,9.47,4.955,23.59,62.04
2014-01-01,Maryland,9.08,4.966,23.58,62.43
2015-01-01,Maryland,8.7,4.967,23.58,62.81
2016-01-01,Maryland,8.32,4.968,23.57,63.19
2017-01-01,Maryland,7.95,4.969,23.57,63.57
2018-01-01,Maryland,7.59,4.97,23.57,63.93
2019-01-01,Maryland,7.23,4.97,23.56,64.3
