Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Massachusetts,18.8,2.8,30.0,48.4
1996-01-01,Massachusetts,18.4,4.9,30.4,46.2
1997-01-01,Massachusetts,16.4,4.1,29.7,49.8
1998-01-01,Massachusetts,16.6,4.3,28.0,51.1
1999-01-01,Massachusetts,15.2,4.1,25.8,55.0
2000-01-01,Massachusetts,15.3,4.7,28.2,51.9
2001-01-01,Massachusetts,14.8,4.7,29.9,50.6
2002-01-01,Massachusetts,14.4,4.5,29.1,52.0
2003-01-01,Massachusetts,14.5,4.6,31.0,49.9
2004-01-01,Massachusetts,13.7,4.8,26.9,54.6
2005-01-01,Massachusetts,13.5,4.6,27.5,54.5
2006-01-01,Massachusetts,13.0,4.7,27.7,54.5
2007-01-01,Massachusetts,12.0,4.4,28.5,55.1
2008-01-01,Massachusetts,11.7,4.4,28.1,55.8
2009-01-01,Massachusetts,10.9,4.0,28.5,56.6
2010-01-01,Massachusetts,10.2,3.9,29.3,56.6
2011-01-01,Massachusetts,10.03,4.261,28.99,56.64
2012-01-01,Massachusetts,9.49,4.092,28.74,57.64
2013-01-01,Massachusetts,9.19,4.153,28.77,57.83
2014-01-01,Massachusetts,8.85,4.113,28.75,58.25
2015-01-01,Massachusetts,8.55,4.103,28.76,58.54
2016-01-01,Massachusetts,8.25,4.082,28.77,58.84
2017-01-01,Massachusetts,7.97,4.064,28.79,59.12
2018-01-01,Massachusetts,7.7,4.046,28.81,59.39
2019-01-01,Massachusetts,7.45,4.029,28.82,59.65
