Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Minnesota,17.4,2.9,23.6,56.1
1996-01-01,Minnesota,15.6,5.0,23.1,56.3
1997-01-01,Minnesota,16.7,5.2,22.4,55.7
1998-01-01,Minnesota,13.3,4.7,18.6,63.4
1999-01-01,Minnesota,15.1,4.4,20.0,60.5
2000-01-01,Minnesota,15.2,4.5,23.1,57.1
2001-01-01,Minnesota,16.9,5.3,28.3,49.5
2002-01-01,Minnesota,16.2,5.5,26.8,51.4
2003-01-01,Minnesota,15.9,5.2,28.3,50.6
2004-01-01,Minnesota,15.2,5.5,26.8,52.5
2005-01-01,Minnesota,14.9,5.1,28.7,51.2
2006-01-01,Minnesota,13.8,4.5,27.6,54.1
2007-01-01,Minnesota,12.4,4.1,27.6,55.9
2008-01-01,Minnesota,12.1,5.5,27.1,55.4
2009-01-01,Minnesota,11.3,5.5,26.4,56.8
2010-01-01,Minnesota,11.3,3.6,25.9,59.2
2011-01-01,Minnesota,11.56,4.464,27.3,56.74
2012-01-01,Minnesota,10.87,4.804,26.29,58.06
2013-01-01,Minnesota,11.12,4.5,26.69,57.71
2014-01-01,Minnesota,11.08,4.587,26.84,57.53
2015-01-01,Minnesota,10.99,4.605,26.81,57.62
2016-01-01,Minnesota,10.97,4.58,26.88,57.6
2017-01-01,Minnesota,10.92,4.586,26.92,57.6
2018-01-01,Minnesota,10.88,4.584,26.95,57.62
2019-01-01,Minnesota,10.83,4.579,26.98,57.64
