Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Mississippi,20.5,2.8,20.8,55.8
1996-01-01,Mississippi,19.7,3.5,21.1,55.7
1997-01-01,Mississippi,19.0,4.1,21.3,55.6
1998-01-01,Mississippi,19.1,5.0,21.9,54.0
1999-01-01,Mississippi,18.5,4.4,20.3,56.8
2000-01-01,Mississippi,18.8,4.7,20.5,56.0
2001-01-01,Mississippi,19.6,5.7,21.1,53.6
2002-01-01,Mississippi,21.4,5.9,20.0,52.7
2003-01-01,Mississippi,19.7,5.8,20.7,53.8
2004-01-01,Mississippi,18.1,6.5,19.3,56.2
2005-01-01,Mississippi,18.6,5.1,20.9,55.5
2006-01-01,Mississippi,17.9,7.2,21.1,53.8
2007-01-01,Mississippi,18.5,5.4,21.2,54.8
2008-01-01,Mississippi,17.2,5.5,22.2,55.1
2009-01-01,Mississippi,17.1,6.3,22.1,54.6
2010-01-01,Mississippi,17.1,5.8,22.0,55.0
2011-01-01,Mississippi,17.21,5.155,22.16,55.44
2012-01-01,Mississippi,17.38,5.363,22.0,55.23
2013-01-01,Mississippi,17.5,5.417,21.88,55.17
2014-01-01,Mississippi,17.6,5.436,21.8,55.14
2015-01-01,Mississippi,17.68,5.447,21.73,55.12
2016-01-01,Mississippi,17.74,5.454,21.69,55.1
2017-01-01,Mississippi,17.79,5.458,21.65,55.08
2018-01-01,Mississippi,17.83,5.461,21.62,55.07
2019-01-01,Mississippi,17.86,5.464,21.59,55.06
