Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Missouri,21.9,2.2,27.1,48.8
1996-01-01,Missouri,22.6,5.2,24.7,47.5
1997-01-01,Missouri,24.6,4.0,21.6,49.7
1998-01-01,Missouri,22.3,4.0,23.7,50.0
1999-01-01,Missouri,22.7,4.3,24.7,48.2
2000-01-01,Missouri,22.6,4.6,24.7,48.1
2001-01-01,Missouri,20.0,5.9,24.5,49.6
2002-01-01,Missouri,22.0,4.5,25.5,48.0
2003-01-01,Missouri,23.1,4.1,24.3,48.5
2004-01-01,Missouri,18.5,5.6,24.2,51.7
2005-01-01,Missouri,18.5,4.9,24.2,52.4
2006-01-01,Missouri,18.6,4.6,26.8,50.0
2007-01-01,Missouri,19.8,4.7,23.4,52.1
2008-01-01,Missouri,20.2,4.8,25.0,50.1
2009-01-01,Missouri,18.3,4.8,24.8,52.1
2010-01-01,Missouri,16.6,4.4,26.1,52.8
2011-01-01,Missouri,18.98,4.414,26.22,50.38
2012-01-01,Missouri,19.71,4.83,24.99,50.44
2013-01-01,Missouri,20.07,4.64,24.85,50.42
2014-01-01,Missouri,20.13,4.665,24.86,50.32
2015-01-01,Missouri,20.2,4.666,24.81,50.3
2016-01-01,Missouri,20.23,4.661,24.79,50.29
2017-01-01,Missouri,20.25,4.662,24.79,50.28
2018-01-01,Missouri,20.26,4.661,24.78,50.27
2019-01-01,Missouri,20.27,4.661,24.78,50.27
