Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Montana,18.9,2.2,29.2,49.8
1996-01-01,Montana,19.1,2.6,27.0,51.3
1997-01-01,Montana,18.0,2.5,26.6,52.9
1998-01-01,Montana,18.5,2.9,26.7,51.8
1999-01-01,Montana,16.0,4.2,27.7,52.1
2000-01-01,Montana,15.9,2.9,29.8,51.4
2001-01-01,Montana,16.6,5.4,27.3,50.8
2002-01-01,Montana,15.7,5.5,26.1,52.7
2003-01-01,Montana,14.8,5.1,28.4,51.6
2004-01-01,Montana,15.8,4.6,25.1,54.5
2005-01-01,Montana,14.5,4.7,28.5,52.3
2006-01-01,Montana,13.3,5.6,26.8,54.3
2007-01-01,Montana,14.8,4.6,26.6,53.9
2008-01-01,Montana,13.8,4.7,26.8,54.7
2009-01-01,Montana,12.2,4.6,26.4,56.8
2010-01-01,Montana,13.5,5.3,27.2,54.0
2011-01-01,Montana,13.7,5.251,26.97,54.05
2012-01-01,Montana,13.71,5.172,27.01,54.07
2013-01-01,Montana,13.74,5.146,27.0,54.08
2014-01-01,Montana,13.77,5.125,27.01,54.05
2015-01-01,Montana,13.8,5.112,27.01,54.04
2016-01-01,Montana,13.83,5.101,27.01,54.02
2017-01-01,Montana,13.85,5.093,27.02,54.01
2018-01-01,Montana,13.86,5.086,27.02,54.0
2019-01-01,Montana,13.87,5.081,27.02,54.0
