Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Nationwide (States and DC),19.9,2.6,25.3,51.6
1996-01-01,Nationwide (States and DC),19.6,4.0,24.0,52.0
1997-01-01,Nationwide (States and DC),19.1,4.3,24.3,51.9
1998-01-01,Nationwide (States and DC),18.5,4.5,24.3,52.0
1999-01-01,Nationwide (States and DC),18.0,4.8,24.0,52.4
2000-01-01,Nationwide (States and DC),17.7,5.1,24.3,52.3
2001-01-01,Nationwide (States and DC),17.4,5.7,24.7,51.3
2002-01-01,Nationwide (States and DC),17.8,5.0,24.7,52.0
2003-01-01,Nationwide (States and DC),16.9,5.1,25.2,52.0
2004-01-01,Nationwide (States and DC),15.8,5.4,24.1,54.6
2005-01-01,Nationwide (States and DC),15.3,5.3,24.8,54.0
2006-01-01,Nationwide (States and DC),14.9,5.1,24.7,54.3
2007-01-01,Nationwide (States and DC),14.5,5.2,24.6,54.8
2008-01-01,Nationwide (States and DC),13.4,4.9,25.2,55.4
2009-01-01,Nationwide (States and DC),12.8,5.0,25.5,55.3
2010-01-01,Nationwide (States and DC),12.4,4.8,25.1,56.6
2011-01-01,Nationwide (States and DC),11.67,4.846,25.27,56.84
2012-01-01,Nationwide (States and DC),11.01,4.834,25.33,57.37
2013-01-01,Nationwide (States and DC),10.33,4.806,25.41,57.88
2014-01-01,Nationwide (States and DC),9.63,4.771,25.5,58.43
2015-01-01,Nationwide (States and DC),8.91,4.731,25.59,58.99
2016-01-01,Nationwide (States and DC),8.17,4.69,25.68,59.57
2017-01-01,Nationwide (States and DC),7.42,4.646,25.77,60.17
2018-01-01,Nationwide (States and DC),6.64,4.6,25.87,60.78
2019-01-01,Nationwide (States and DC),5.84,4.553,25.97,61.41
