Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,"Nationwide (States, DC, and Territories)",19.9,2.6,25.3,51.6
1996-01-01,"Nationwide (States, DC, and Territories)",19.5,4.0,23.8,52.2
1997-01-01,"Nationwide (States, DC, and Territories)",19.1,4.3,24.3,52.1
1998-01-01,"Nationwide (States, DC, and Territories)",18.5,4.6,24.3,52.2
1999-01-01,"Nationwide (States, DC, and Territories)",18.0,4.8,24.0,52.5
2000-01-01,"Nationwide (States, DC, and Territories)",17.6,5.1,24.3,52.6
2001-01-01,"Nationwide (States, DC, and Territories)",17.4,5.6,24.7,51.8
2002-01-01,"Nationwide (States, DC, and Territories)",17.8,5.0,24.4,52.3
2003-01-01,"Nationwide (States, DC, and Territories)",16.7,5.1,25.2,52.1
2004-01-01,"Nationwide (States, DC, and Territories)",15.6,5.4,24.0,55.0
2005-01-01,"Nationwide (States, DC, and Territories)",15.3,5.2,24.4,54.1
2006-01-01,"Nationwide (States, DC, and Territories)",14.7,5.1,24.5,54.5
2007-01-01,"Nationwide (States, DC, and Territories)",14.5,5.2,24.4,54.9
2008-01-01,"Nationwide (States, DC, and Territories)",13.4,4.9,25.1,55.5
2009-01-01,"Nationwide (States, DC, and Territories)",12.7,5.0,25.5,55.5
2010-01-01,"Nationwide (States, DC, and Territories)",12.3,4.8,24.7,56.8
2011-01-01,"Nationwide (States, DC, and Territories)",11.55,4.804,25.07,56.94
2012-01-01,"Nationwide (States, DC, and Territories)",10.78,4.819,25.1,57.62
2013-01-01,"Nationwide (States, DC, and Territories)",9.97,4.799,25.2,58.17
2014-01-01,"Nationwide (States, DC, and Territories)",9.12,4.772,25.29,58.82
2015-01-01,"Nationwide (States, DC, and Territories)",8.23,4.736,25.39,59.49
2016-01-01,"Nationwide (States, DC, and Territories)",7.28,4.694,25.49,60.21
2017-01-01,"Nationwide (States, DC, and Territories)",6.28,4.649,25.6,60.96
2018-01-01,"Nationwide (States, DC, and Territories)",5.22,4.6,25.71,61.76
2019-01-01,"Nationwide (States, DC, and Territories)",4.1,4.548,25.83,62.61
