Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Nebraska,19.4,2.4,25.7,52.5
1996-01-01,Nebraska,19.5,2.6,23.6,54.3
1997-01-01,Nebraska,18.5,3.6,22.7,55.2
1998-01-01,Nebraska,17.4,4.6,24.4,53.5
1999-01-01,Nebraska,18.2,5.0,22.1,54.7
2000-01-01,Nebraska,16.5,4.8,24.3,54.5
2001-01-01,Nebraska,15.8,4.4,22.3,57.4
2002-01-01,Nebraska,17.8,4.9,22.9,54.4
2003-01-01,Nebraska,16.0,5.3,24.0,54.7
2004-01-01,Nebraska,14.9,5.4,21.2,58.6
2005-01-01,Nebraska,16.1,5.2,22.7,56.1
2006-01-01,Nebraska,13.8,4.8,23.8,57.5
2007-01-01,Nebraska,14.5,5.5,23.8,56.2
2008-01-01,Nebraska,13.4,4.9,25.0,56.6
2009-01-01,Nebraska,12.9,3.8,24.6,58.7
2010-01-01,Nebraska,12.5,4.7,25.2,57.6
2011-01-01,Nebraska,12.25,4.441,24.24,59.01
2012-01-01,Nebraska,12.84,4.66,24.57,57.89
2013-01-01,Nebraska,12.87,4.601,24.25,58.24
2014-01-01,Nebraska,13.1,4.676,24.32,57.87
2015-01-01,Nebraska,13.16,4.668,24.21,57.93
2016-01-01,Nebraska,13.26,4.696,24.21,57.8
2017-01-01,Nebraska,13.3,4.698,24.17,57.8
2018-01-01,Nebraska,13.35,4.71,24.16,57.74
2019-01-01,Nebraska,13.38,4.713,24.14,57.73
