Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Nevada,23.3,2.5,26.8,47.4
1996-01-01,Nevada,25.1,3.0,26.8,45.0
1997-01-01,Nevada,23.4,4.6,25.4,46.6
1998-01-01,Nevada,23.6,6.7,24.0,45.6
1999-01-01,Nevada,24.3,7.2,29.0,39.5
2000-01-01,Nevada,22.0,7.1,26.7,44.3
2001-01-01,Nevada,20.8,6.1,26.2,46.9
2002-01-01,Nevada,21.1,5.0,24.7,49.2
2003-01-01,Nevada,20.3,4.9,25.2,49.7
2004-01-01,Nevada,16.5,6.8,24.4,52.3
2005-01-01,Nevada,16.6,6.5,24.0,52.9
2006-01-01,Nevada,15.6,6.5,25.6,52.3
2007-01-01,Nevada,16.1,5.3,25.4,53.1
2008-01-01,Nevada,16.4,5.8,25.1,52.7
2009-01-01,Nevada,15.8,6.3,26.5,51.4
2010-01-01,Nevada,16.5,4.9,25.8,52.8
2011-01-01,Nevada,16.45,4.84,24.82,53.84
2012-01-01,Nevada,16.78,5.089,25.06,53.01
2013-01-01,Nevada,17.06,5.211,25.22,52.47
2014-01-01,Nevada,17.22,5.278,25.24,52.22
2015-01-01,Nevada,17.32,5.335,25.26,52.05
2016-01-01,Nevada,17.38,5.377,25.28,51.92
2017-01-01,Nevada,17.42,5.406,25.3,51.84
2018-01-01,Nevada,17.44,5.426,25.3,51.79
2019-01-01,Nevada,17.45,5.438,25.31,51.77
