Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,New Hampshire,18.8,2.3,32.7,46.2
1996-01-01,New Hampshire,20.6,4.2,29.1,46.1
1997-01-01,New Hampshire,20.0,4.7,31.3,44.0
1998-01-01,New Hampshire,18.2,5.0,28.5,48.2
1999-01-01,New Hampshire,18.0,4.3,29.0,48.7
2000-01-01,New Hampshire,19.7,5.6,29.7,45.0
2001-01-01,New Hampshire,19.0,5.1,28.8,47.1
2002-01-01,New Hampshire,18.6,4.6,30.2,46.6
2003-01-01,New Hampshire,17.0,4.2,31.0,47.8
2004-01-01,New Hampshire,16.5,5.1,28.5,49.8
2005-01-01,New Hampshire,15.4,5.0,29.5,50.1
2006-01-01,New Hampshire,14.3,4.4,29.7,51.6
2007-01-01,New Hampshire,15.1,4.2,30.3,50.4
2008-01-01,New Hampshire,12.8,4.2,31.1,51.9
2009-01-01,New Hampshire,11.3,4.5,29.4,54.9
2010-01-01,New Hampshire,12.4,4.5,30.7,52.4
2011-01-01,New Hampshire,11.23,4.375,29.33,55.07
2012-01-01,New Hampshire,11.41,4.348,30.52,53.75
2013-01-01,New Hampshire,10.91,4.362,29.96,54.77
2014-01-01,New Hampshire,10.66,4.322,30.15,54.89
2015-01-01,New Hampshire,10.41,4.316,30.18,55.12
2016-01-01,New Hampshire,10.13,4.298,30.15,55.45
2017-01-01,New Hampshire,9.9,4.283,30.2,55.64
2018-01-01,New Hampshire,9.66,4.271,30.2,55.89
2019-01-01,New Hampshire,9.45,4.257,30.22,56.1
