Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,New Jersey,15.3,3.7,25.3,55.7
1996-01-01,New Jersey,17.8,4.9,24.7,52.6
1997-01-01,New Jersey,16.6,4.7,26.2,52.4
1998-01-01,New Jersey,15.2,3.9,26.4,54.5
1999-01-01,New Jersey,14.6,6.0,21.3,58.1
2000-01-01,New Jersey,14.8,6.2,22.4,56.6
2001-01-01,New Jersey,15.0,6.1,26.2,52.7
2002-01-01,New Jersey,14.0,5.0,26.0,55.0
2003-01-01,New Jersey,14.0,5.4,26.3,54.3
2004-01-01,New Jersey,13.0,5.8,24.4,56.8
2005-01-01,New Jersey,12.8,5.2,25.5,56.5
2006-01-01,New Jersey,12.3,5.7,24.1,57.9
2007-01-01,New Jersey,12.0,5.1,24.7,58.2
2008-01-01,New Jersey,10.7,4.1,24.3,60.9
2009-01-01,New Jersey,10.0,5.8,25.4,58.8
2010-01-01,New Jersey,10.2,4.2,26.1,59.4
2011-01-01,New Jersey,9.0,3.53,26.24,61.22
2012-01-01,New Jersey,9.26,5.063,23.94,61.72
2013-01-01,New Jersey,9.15,5.066,24.79,60.98
2014-01-01,New Jersey,8.87,4.936,24.97,61.2
2015-01-01,New Jersey,8.58,4.86,24.98,61.56
2016-01-01,New Jersey,8.32,4.861,24.92,61.88
2017-01-01,New Jersey,8.09,4.861,24.9,62.12
2018-01-01,New Jersey,7.86,4.852,24.9,62.36
2019-01-01,New Jersey,7.63,4.841,24.9,62.6
