Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,New Mexico,17.6,3.1,27.7,51.7
1996-01-01,New Mexico,16.7,6.2,24.2,53.0
1997-01-01,New Mexico,15.5,6.5,25.3,52.6
1998-01-01,New Mexico,16.2,6.4,24.3,53.2
1999-01-01,New Mexico,16.4,6.0,24.6,52.9
2000-01-01,New Mexico,16.9,6.6,25.8,50.6
2001-01-01,New Mexico,16.1,7.7,24.9,51.2
2002-01-01,New Mexico,15.0,6.2,26.0,52.8
2003-01-01,New Mexico,15.8,6.2,25.9,52.1
2004-01-01,New Mexico,13.2,7.1,24.1,55.6
2005-01-01,New Mexico,14.6,6.9,24.4,54.1
2006-01-01,New Mexico,13.8,6.4,24.7,55.1
2007-01-01,New Mexico,13.1,7.6,24.8,54.4
2008-01-01,New Mexico,12.8,6.6,24.9,55.7
2009-01-01,New Mexico,11.2,6.7,25.8,56.2
2010-01-01,New Mexico,11.4,7.1,24.7,56.9
2011-01-01,New Mexico,10.56,6.622,24.66,58.13
2012-01-01,New Mexico,10.93,6.955,24.73,57.38
2013-01-01,New Mexico,10.83,6.863,24.75,57.55
2014-01-01,New Mexico,10.81,6.881,24.74,57.57
2015-01-01,New Mexico,10.77,6.876,24.73,57.61
2016-01-01,New Mexico,10.75,6.881,24.73,57.63
2017-01-01,New Mexico,10.73,6.881,24.73,57.65
2018-01-01,New Mexico,10.71,6.882,24.73,57.67
2019-01-01,New Mexico,10.69,6.883,24.73,57.69
