Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,New York,19.1,2.2,25.3,53.4
1996-01-01,New York,19.2,4.0,23.7,53.1
1997-01-01,New York,19.1,4.0,23.7,53.2
1998-01-01,New York,18.4,5.7,24.3,51.6
1999-01-01,New York,17.0,4.8,23.1,55.1
2000-01-01,New York,15.9,5.7,25.6,52.9
2001-01-01,New York,16.6,6.6,23.8,53.0
2002-01-01,New York,16.9,5.4,25.0,52.7
2003-01-01,New York,16.5,5.1,25.4,53.0
2004-01-01,New York,14.2,5.7,24.2,55.9
2005-01-01,New York,14.6,5.9,25.6,54.0
2006-01-01,New York,13.4,4.9,24.5,57.3
2007-01-01,New York,12.8,6.1,25.5,55.6
2008-01-01,New York,11.8,5.0,25.4,57.8
2009-01-01,New York,12.1,5.9,26.3,55.7
2010-01-01,New York,10.5,5.0,26.8,57.8
2011-01-01,New York,10.06,5.862,26.0,58.11
2012-01-01,New York,9.5,5.915,26.76,57.87
2013-01-01,New York,8.8,5.842,26.66,58.74
2014-01-01,New York,8.18,5.932,27.04,58.89
2015-01-01,New York,7.5,5.94,27.14,59.47
2016-01-01,New York,6.85,6.004,27.4,59.79
2017-01-01,New York,6.17,6.038,27.57,60.28
2018-01-01,New York,5.48,6.091,27.8,60.68
2019-01-01,New York,4.79,6.135,28.0,61.13
