Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,North Carolina,23.0,2.7,22.6,51.6
1996-01-01,North Carolina,21.9,3.8,23.1,51.2
1997-01-01,North Carolina,21.0,4.9,22.4,51.8
1998-01-01,North Carolina,20.5,4.2,23.4,51.9
1999-01-01,North Carolina,21.0,4.2,23.2,51.6
2000-01-01,North Carolina,20.7,5.4,24.3,49.6
2001-01-01,North Carolina,21.3,4.5,23.8,50.4
2002-01-01,North Carolina,21.2,5.1,24.1,49.7
2003-01-01,North Carolina,18.8,6.0,23.2,52.0
2004-01-01,North Carolina,17.6,5.5,21.2,55.6
2005-01-01,North Carolina,17.1,5.5,23.6,53.8
2006-01-01,North Carolina,17.0,5.1,24.1,53.9
2007-01-01,North Carolina,17.6,5.3,24.8,52.3
2008-01-01,North Carolina,15.5,5.4,24.8,54.3
2009-01-01,North Carolina,14.4,5.9,26.2,53.5
2010-01-01,North Carolina,14.3,5.4,24.5,55.8
2011-01-01,North Carolina,14.05,5.525,25.52,54.91
2012-01-01,North Carolina,13.72,5.62,25.79,54.87
2013-01-01,North Carolina,13.39,5.675,25.91,55.03
2014-01-01,North Carolina,13.07,5.714,26.02,55.2
2015-01-01,North Carolina,12.76,5.746,26.14,55.36
2016-01-01,North Carolina,12.47,5.777,26.26,55.49
2017-01-01,North Carolina,12.19,5.806,26.38,55.62
2018-01-01,North Carolina,11.92,5.835,26.5,55.75
2019-01-01,North Carolina,11.67,5.862,26.61,55.86
