Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,North Dakota,20.1,2.5,24.2,53.2
1996-01-01,North Dakota,19.5,3.9,25.5,51.2
1997-01-01,North Dakota,19.7,2.6,24.4,53.3
1998-01-01,North Dakota,17.0,3.0,28.2,51.8
1999-01-01,North Dakota,17.0,5.1,24.7,53.1
2000-01-01,North Dakota,17.5,5.8,23.4,53.4
2001-01-01,North Dakota,15.6,6.5,24.8,53.1
2002-01-01,North Dakota,16.4,5.1,26.5,52.0
2003-01-01,North Dakota,16.1,4.4,25.6,53.9
2004-01-01,North Dakota,14.8,5.1,23.6,56.5
2005-01-01,North Dakota,15.0,5.2,25.5,54.4
2006-01-01,North Dakota,15.6,3.9,24.1,56.4
2007-01-01,North Dakota,15.1,5.9,25.3,53.8
2008-01-01,North Dakota,13.3,4.8,25.4,56.5
2009-01-01,North Dakota,13.4,5.2,24.0,57.4
2010-01-01,North Dakota,12.2,5.1,24.1,58.6
2011-01-01,North Dakota,11.69,5.768,24.3,58.27
2012-01-01,North Dakota,11.19,5.711,24.14,58.96
2013-01-01,North Dakota,10.77,5.952,24.06,59.23
2014-01-01,North Dakota,10.33,6.006,23.98,59.69
2015-01-01,North Dakota,9.91,6.119,23.91,60.08
2016-01-01,North Dakota,9.49,6.204,23.83,60.49
2017-01-01,North Dakota,9.07,6.298,23.76,60.9
2018-01-01,North Dakota,8.65,6.387,23.68,61.3
2019-01-01,North Dakota,8.24,6.477,23.61,61.7
