Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Ohio,23.6,2.2,24.0,50.2
1996-01-01,Ohio,25.7,2.7,21.4,50.2
1997-01-01,Ohio,23.2,1.9,22.7,52.2
1998-01-01,Ohio,21.6,4.5,23.6,50.3
1999-01-01,Ohio,23.6,4.0,24.0,48.4
2000-01-01,Ohio,21.1,5.1,23.2,50.6
2001-01-01,Ohio,21.9,5.8,23.4,49.0
2002-01-01,Ohio,21.4,5.2,24.7,48.7
2003-01-01,Ohio,19.5,5.7,23.8,51.0
2004-01-01,Ohio,20.8,5.0,22.1,52.0
2005-01-01,Ohio,17.6,4.8,25.8,51.9
2006-01-01,Ohio,16.8,5.6,24.3,53.3
2007-01-01,Ohio,17.7,5.4,24.8,52.1
2008-01-01,Ohio,15.5,4.6,25.4,54.4
2009-01-01,Ohio,15.6,4.7,25.8,53.8
2010-01-01,Ohio,17.1,5.4,24.6,52.9
2011-01-01,Ohio,17.16,5.333,24.95,52.52
2012-01-01,Ohio,17.27,5.385,24.8,52.5
2013-01-01,Ohio,17.3,5.372,24.84,52.45
2014-01-01,Ohio,17.35,5.377,24.81,52.43
2015-01-01,Ohio,17.37,5.37,24.81,52.41
2016-01-01,Ohio,17.4,5.368,24.8,52.4
2017-01-01,Ohio,17.42,5.363,24.79,52.38
2018-01-01,Ohio,17.44,5.36,24.78,52.38
2019-01-01,Ohio,17.45,5.357,24.78,52.37
