Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Oklahoma,20.2,1.3,17.4,61.2
1996-01-01,Oklahoma,21.5,2.5,18.4,57.5
1997-01-01,Oklahoma,21.4,3.2,19.1,56.3
1998-01-01,Oklahoma,20.2,3.6,19.6,56.5
1999-01-01,Oklahoma,22.4,2.8,18.7,56.1
2000-01-01,Oklahoma,19.8,3.5,19.3,57.4
2001-01-01,Oklahoma,23.1,5.6,21.8,49.5
2002-01-01,Oklahoma,21.8,4.8,21.8,51.6
2003-01-01,Oklahoma,20.3,4.8,22.1,52.7
2004-01-01,Oklahoma,19.9,6.2,22.5,51.4
2005-01-01,Oklahoma,19.0,6.0,24.0,50.9
2006-01-01,Oklahoma,18.9,6.2,23.7,51.2
2007-01-01,Oklahoma,20.0,5.8,23.2,51.0
2008-01-01,Oklahoma,18.5,6.2,24.7,50.6
2009-01-01,Oklahoma,18.8,6.7,24.5,50.0
2010-01-01,Oklahoma,17.5,6.2,24.3,52.0
2011-01-01,Oklahoma,18.65,6.656,24.62,50.04
2012-01-01,Oklahoma,18.62,6.712,24.77,49.87
2013-01-01,Oklahoma,18.5,6.773,24.89,49.81
2014-01-01,Oklahoma,18.44,6.842,24.99,49.7
2015-01-01,Oklahoma,18.39,6.902,25.1,49.59
2016-01-01,Oklahoma,18.33,6.955,25.18,49.5
2017-01-01,Oklahoma,18.29,7.004,25.26,49.42
2018-01-01,Oklahoma,18.25,7.048,25.34,49.34
2019-01-01,Oklahoma,18.21,7.088,25.4,49.27
