Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Oregon,18.5,3.2,28.4,49.9
1996-01-01,Oregon,19.1,4.3,27.7,48.9
1997-01-01,Oregon,16.2,4.5,30.4,48.9
1998-01-01,Oregon,16.3,4.8,27.4,51.6
1999-01-01,Oregon,16.1,5.4,28.1,50.5
2000-01-01,Oregon,15.3,5.4,28.3,50.9
2001-01-01,Oregon,15.0,5.5,28.7,50.9
2002-01-01,Oregon,17.3,5.1,28.1,49.4
2003-01-01,Oregon,15.8,5.2,26.7,52.4
2004-01-01,Oregon,14.3,5.8,24.7,55.3
2005-01-01,Oregon,13.4,5.1,27.4,54.0
2006-01-01,Oregon,13.6,4.8,25.7,55.8
2007-01-01,Oregon,13.1,3.8,28.2,54.9
2008-01-01,Oregon,11.8,4.5,24.7,59.0
2009-01-01,Oregon,13.1,4.7,27.6,54.5
2010-01-01,Oregon,11.0,4.1,28.2,56.7
2011-01-01,Oregon,12.01,4.359,25.45,58.11
2012-01-01,Oregon,11.73,4.205,26.65,57.33
2013-01-01,Oregon,11.84,4.193,26.28,57.63
2014-01-01,Oregon,11.87,4.192,26.35,57.52
2015-01-01,Oregon,11.89,4.185,26.37,57.49
2016-01-01,Oregon,11.92,4.19,26.36,57.47
2017-01-01,Oregon,11.93,4.193,26.37,57.44
2018-01-01,Oregon,11.95,4.197,26.37,57.41
2019-01-01,Oregon,11.96,4.201,26.38,57.39
