Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Pennsylvania,20.4,3.3,28.3,48.0
1996-01-01,Pennsylvania,20.3,4.2,23.2,52.3
1997-01-01,Pennsylvania,20.0,4.2,22.7,53.1
1998-01-01,Pennsylvania,19.4,4.4,22.9,53.3
1999-01-01,Pennsylvania,18.4,4.7,23.3,53.6
2000-01-01,Pennsylvania,19.3,5.1,24.5,51.1
2001-01-01,Pennsylvania,18.9,5.6,24.2,51.3
2002-01-01,Pennsylvania,19.5,5.1,25.7,49.7
2003-01-01,Pennsylvania,20.2,5.3,25.2,49.4
2004-01-01,Pennsylvania,17.5,5.3,23.9,53.4
2005-01-01,Pennsylvania,17.9,5.7,25.4,51.0
2006-01-01,Pennsylvania,16.6,4.9,25.5,53.0
2007-01-01,Pennsylvania,15.1,5.8,23.9,55.1
2008-01-01,Pennsylvania,15.6,5.7,25.3,53.3
2009-01-01,Pennsylvania,15.1,5.1,26.0,53.7
2010-01-01,Pennsylvania,13.4,5.0,26.2,55.4
2011-01-01,Pennsylvania,12.18,5.968,25.62,56.1
2012-01-01,Pennsylvania,11.49,5.924,26.93,55.5
2013-01-01,Pennsylvania,10.63,5.933,27.3,55.97
2014-01-01,Pennsylvania,9.68,6.032,27.54,56.57
2015-01-01,Pennsylvania,8.69,6.131,27.87,57.1
2016-01-01,Pennsylvania,7.66,6.227,28.23,57.65
2017-01-01,Pennsylvania,6.58,6.329,28.61,58.23
2018-01-01,Pennsylvania,5.44,6.437,29.0,58.84
2019-01-01,Pennsylvania,4.25,6.55,29.41,59.48
