Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Rhode Island,21.3,3.5,29.2,46.0
1996-01-01,Rhode Island,17.8,4.7,27.1,50.4
1997-01-01,Rhode Island,19.7,4.6,26.7,49.0
1998-01-01,Rhode Island,18.2,4.4,29.0,48.4
1999-01-01,Rhode Island,17.8,4.4,25.6,52.2
2000-01-01,Rhode Island,18.3,5.1,26.7,49.9
2001-01-01,Rhode Island,17.6,6.3,28.9,47.3
2002-01-01,Rhode Island,17.5,4.9,29.6,48.0
2003-01-01,Rhode Island,17.2,5.1,29.1,48.5
2004-01-01,Rhode Island,15.8,5.5,28.8,49.9
2005-01-01,Rhode Island,15.3,4.4,28.8,51.4
2006-01-01,Rhode Island,14.9,4.3,28.8,52.0
2007-01-01,Rhode Island,11.8,5.2,28.4,54.6
2008-01-01,Rhode Island,13.4,4.0,28.1,54.5
2009-01-01,Rhode Island,10.2,4.9,29.6,55.4
2010-01-01,Rhode Island,10.9,4.8,28.4,55.9
2011-01-01,Rhode Island,11.09,4.639,28.73,55.55
2012-01-01,Rhode Island,10.89,4.594,28.56,55.96
2013-01-01,Rhode Island,10.75,4.596,28.53,56.14
2014-01-01,Rhode Island,10.64,4.592,28.52,56.26
2015-01-01,Rhode Island,10.54,4.588,28.52,56.36
2016-01-01,Rhode Island,10.46,4.584,28.52,56.45
2017-01-01,Rhode Island,10.38,4.58,28.53,56.53
2018-01-01,Rhode Island,10.31,4.576,28.53,56.6
2019-01-01,Rhode Island,10.24,4.573,28.53,56.67
