Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,South Carolina,20.9,2.5,20.4,56.1
1996-01-01,South Carolina,21.4,3.0,20.2,55.3
1997-01-01,South Carolina,20.2,3.2,20.0,56.6
1998-01-01,South Carolina,19.6,5.1,20.7,54.6
1999-01-01,South Carolina,18.0,5.6,20.4,56.0
2000-01-01,South Carolina,18.8,6.2,21.9,53.2
2001-01-01,South Carolina,19.3,6.7,21.3,52.6
2002-01-01,South Carolina,21.0,5.6,22.6,50.9
2003-01-01,South Carolina,19.6,5.9,23.0,51.5
2004-01-01,South Carolina,18.0,6.4,21.9,53.8
2005-01-01,South Carolina,17.0,5.5,24.4,53.1
2006-01-01,South Carolina,16.5,5.8,24.5,53.3
2007-01-01,South Carolina,16.2,5.7,25.0,53.1
2008-01-01,South Carolina,14.4,5.6,25.2,54.7
2009-01-01,South Carolina,14.6,5.7,24.5,55.2
2010-01-01,South Carolina,14.0,7.0,24.1,54.9
2011-01-01,South Carolina,14.48,7.041,24.91,53.6
2012-01-01,South Carolina,14.3,7.07,25.4,53.24
2013-01-01,South Carolina,14.06,7.006,25.66,53.29
2014-01-01,South Carolina,13.73,7.004,25.85,53.42
2015-01-01,South Carolina,13.43,7.017,26.01,53.55
2016-01-01,South Carolina,13.15,7.059,26.15,53.64
2017-01-01,South Carolina,12.9,7.108,26.3,53.7
2018-01-01,South Carolina,12.66,7.164,26.44,53.73
2019-01-01,South Carolina,12.45,7.219,26.58,53.75
