Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,South Dakota,19.8,1.9,24.0,54.2
1996-01-01,South Dakota,17.9,2.8,25.2,54.1
1997-01-01,South Dakota,18.8,5.6,25.8,49.9
1998-01-01,South Dakota,22.0,5.2,20.4,52.4
1999-01-01,South Dakota,17.6,4.8,25.1,52.4
2000-01-01,South Dakota,16.8,5.1,24.6,53.5
2001-01-01,South Dakota,16.6,5.8,25.2,52.5
2002-01-01,South Dakota,17.5,5.1,22.4,55.0
2003-01-01,South Dakota,16.4,6.3,25.3,52.0
2004-01-01,South Dakota,14.1,6.3,23.6,56.0
2005-01-01,South Dakota,13.8,6.0,25.4,54.8
2006-01-01,South Dakota,14.7,5.6,24.8,54.8
2007-01-01,South Dakota,14.2,5.6,24.3,55.9
2008-01-01,South Dakota,12.0,5.6,26.1,56.4
2009-01-01,South Dakota,12.5,5.0,27.2,55.3
2010-01-01,South Dakota,11.3,4.1,27.0,57.6
2011-01-01,South Dakota,11.77,4.628,27.85,55.81
2012-01-01,South Dakota,13.6,4.775,26.19,55.49
2013-01-01,South Dakota,14.44,4.974,25.99,54.63
2014-01-01,South Dakota,15.03,5.081,25.29,54.61
2015-01-01,South Dakota,15.08,5.191,25.29,54.44
2016-01-01,South Dakota,15.04,5.244,25.13,54.58
2017-01-01,South Dakota,14.84,5.285,25.24,54.63
2018-01-01,South Dakota,14.67,5.297,25.27,54.77
2019-01-01,South Dakota,14.49,5.302,25.37,54.83
