Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Tennessee,24.2,1.9,19.8,54.1
1996-01-01,Tennessee,25.0,2.9,19.9,52.2
1997-01-01,Tennessee,23.7,3.3,21.3,51.7
1998-01-01,Tennessee,22.7,3.3,21.5,52.4
1999-01-01,Tennessee,21.9,2.9,20.7,54.4
2000-01-01,Tennessee,21.6,4.0,22.2,52.1
2001-01-01,Tennessee,19.7,4.7,19.1,56.6
2002-01-01,Tennessee,22.9,4.9,18.7,53.6
2003-01-01,Tennessee,21.1,4.5,18.9,55.4
2004-01-01,Tennessee,21.5,4.6,22.2,51.7
2005-01-01,Tennessee,20.4,6.3,22.0,51.3
2006-01-01,Tennessee,18.4,4.1,23.5,53.9
2007-01-01,Tennessee,20.0,4.3,24.0,51.8
2008-01-01,Tennessee,18.0,5.1,21.8,55.0
2009-01-01,Tennessee,17.6,4.4,24.7,53.3
2010-01-01,Tennessee,15.7,4.4,22.9,57.0
2011-01-01,Tennessee,17.92,5.006,22.72,54.44
2012-01-01,Tennessee,18.13,5.18,21.67,55.02
2013-01-01,Tennessee,18.63,5.004,22.17,54.21
2014-01-01,Tennessee,18.59,4.932,22.08,54.39
2015-01-01,Tennessee,18.68,4.873,22.2,54.24
2016-01-01,Tennessee,18.69,4.86,22.15,54.3
2017-01-01,Tennessee,18.73,4.847,22.16,54.26
2018-01-01,Tennessee,18.76,4.841,22.14,54.26
2019-01-01,Tennessee,18.78,4.834,22.14,54.24
