Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Texas,19.9,3.6,23.7,52.8
1996-01-01,Texas,17.0,5.9,21.2,55.9
1997-01-01,Texas,16.2,6.3,20.3,57.1
1998-01-01,Texas,15.6,6.3,22.6,55.5
1999-01-01,Texas,15.0,7.5,23.3,54.3
2000-01-01,Texas,15.4,6.5,21.9,56.2
2001-01-01,Texas,15.5,6.9,20.7,56.9
2002-01-01,Texas,16.6,6.2,20.9,56.2
2003-01-01,Texas,15.6,6.5,21.6,56.3
2004-01-01,Texas,13.6,6.9,20.2,59.3
2005-01-01,Texas,13.2,6.8,21.0,59.0
2006-01-01,Texas,12.6,5.3,21.7,60.4
2007-01-01,Texas,13.0,6.4,20.7,60.0
2008-01-01,Texas,11.7,6.8,21.5,60.0
2009-01-01,Texas,11.7,6.2,21.6,60.5
2010-01-01,Texas,10.5,5.3,21.3,62.9
2011-01-01,Texas,9.58,5.674,21.12,63.69
2012-01-01,Texas,8.79,5.812,20.72,64.72
2013-01-01,Texas,8.18,5.712,20.81,65.34
2014-01-01,Texas,7.55,5.635,20.78,66.09
2015-01-01,Texas,6.89,5.568,20.7,66.91
2016-01-01,Texas,6.22,5.491,20.63,67.73
2017-01-01,Texas,5.54,5.412,20.56,68.57
2018-01-01,Texas,4.84,5.332,20.49,69.42
2019-01-01,Texas,4.12,5.25,20.41,70.3
