Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1997-01-01,Utah,11.1,2.6,17.2,69.0
1998-01-01,Utah,10.5,3.7,18.7,67.1
1999-01-01,Utah,10.3,3.7,17.3,68.8
2000-01-01,Utah,9.6,3.3,18.4,68.8
2001-01-01,Utah,9.1,4.1,17.1,69.7
2002-01-01,Utah,9.9,2.8,17.1,70.1
2003-01-01,Utah,8.6,3.3,16.6,71.5
2004-01-01,Utah,7.8,2.7,15.8,73.8
2005-01-01,Utah,8.5,3.0,16.0,72.5
2006-01-01,Utah,7.1,2.7,16.6,73.6
2007-01-01,Utah,8.3,3.4,15.8,72.5
2008-01-01,Utah,6.8,2.5,16.1,74.5
2009-01-01,Utah,6.9,2.9,15.1,75.1
2010-01-01,Utah,6.4,2.7,14.3,76.6
2011-01-01,Utah,5.88,2.176,14.7,77.17
2012-01-01,Utah,5.86,2.595,14.22,77.27
2013-01-01,Utah,5.55,2.137,14.2,78.03
2014-01-01,Utah,5.4,2.359,13.96,78.22
2015-01-01,Utah,5.18,2.119,13.84,78.79
2016-01-01,Utah,5.01,2.18,13.66,79.08
2017-01-01,Utah,4.82,2.058,13.52,79.53
2018-01-01,Utah,4.64,2.05,13.37,79.86
2019-01-01,Utah,4.47,1.976,13.23,80.24
