Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2001-01-01,Virgin Islands,6.9,2.7,12.6,77.8
2002-01-01,Virgin Islands,7.0,2.4,12.1,78.5
2003-01-01,Virgin Islands,7.9,2.0,13.6,76.4
2004-01-01,Virgin Islands,5.9,3.5,9.9,80.7
2005-01-01,Virgin Islands,5.3,2.8,12.8,79.1
2006-01-01,Virgin Islands,5.8,3.1,13.1,78.0
2007-01-01,Virgin Islands,5.6,3.0,11.9,79.5
2008-01-01,Virgin Islands,4.1,2.3,11.5,82.1
2009-01-01,Virgin Islands,3.9,2.6,11.1,82.5
2010-01-01,Virgin Islands,3.6,2.2,10.5,83.7
2011-01-01,Virgin Islands,2.57,2.733,10.27,84.52
2012-01-01,Virgin Islands,2.9,1.991,11.35,83.8
2013-01-01,Virgin Islands,2.59,2.439,10.08,84.97
2014-01-01,Virgin Islands,2.66,2.025,10.88,84.49
2015-01-01,Virgin Islands,2.47,2.267,10.16,85.18
2016-01-01,Virgin Islands,2.47,2.046,10.58,84.96
2017-01-01,Virgin Islands,2.35,2.17,10.19,85.36
2018-01-01,Virgin Islands,2.33,2.05,10.41,85.28
2019-01-01,Virgin Islands,2.25,2.112,10.19,85.52
