Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Virginia,18.7,2.7,25.2,53.5
1996-01-01,Virginia,19.6,5.2,22.9,52.3
1997-01-01,Virginia,18.8,5.6,25.8,49.8
1998-01-01,Virginia,18.1,4.8,23.2,53.9
1999-01-01,Virginia,17.0,4.3,25.3,53.3
2000-01-01,Virginia,16.1,5.3,23.3,55.3
2001-01-01,Virginia,17.9,4.7,24.7,52.8
2002-01-01,Virginia,19.4,5.3,22.4,53.0
2003-01-01,Virginia,17.2,4.8,24.0,54.0
2004-01-01,Virginia,15.9,5.0,23.3,55.8
2005-01-01,Virginia,15.3,5.3,24.1,55.2
2006-01-01,Virginia,14.7,4.6,25.2,55.5
2007-01-01,Virginia,14.1,4.4,23.5,58.0
2008-01-01,Virginia,12.4,4.1,24.0,59.5
2009-01-01,Virginia,13.8,5.2,24.4,56.5
2010-01-01,Virginia,14.5,4.0,24.4,57.0
2011-01-01,Virginia,14.21,4.761,24.64,56.3
2012-01-01,Virginia,14.22,4.593,24.17,56.96
2013-01-01,Virginia,14.28,4.631,24.23,56.81
2014-01-01,Virginia,14.33,4.629,24.19,56.79
2015-01-01,Virginia,14.38,4.636,24.2,56.73
2016-01-01,Virginia,14.42,4.639,24.19,56.69
2017-01-01,Virginia,14.45,4.642,24.2,56.66
2018-01-01,Virginia,14.48,4.645,24.19,56.63
2019-01-01,Virginia,14.5,4.647,24.19,56.61
