Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Washington,17.5,2.4,29.9,50.2
1996-01-01,Washington,19.1,4.4,26.8,49.7
1997-01-01,Washington,18.6,5.2,26.9,49.3
1998-01-01,Washington,16.9,4.5,27.6,51.1
1999-01-01,Washington,17.0,5.3,26.8,50.8
2000-01-01,Washington,14.8,5.9,28.8,50.5
2001-01-01,Washington,16.4,6.0,27.6,49.9
2002-01-01,Washington,16.4,5.0,28.5,50.1
2003-01-01,Washington,14.6,5.0,26.2,54.2
2004-01-01,Washington,14.0,5.3,25.3,55.5
2005-01-01,Washington,12.5,5.0,27.3,55.1
2006-01-01,Washington,12.3,4.7,26.4,56.6
2007-01-01,Washington,12.2,4.6,26.2,57.0
2008-01-01,Washington,11.7,4.0,26.7,57.6
2009-01-01,Washington,10.7,4.2,26.7,58.4
2010-01-01,Washington,11.0,4.2,25.5,59.3
2011-01-01,Washington,10.1,4.126,25.94,59.83
2012-01-01,Washington,9.76,4.102,25.68,60.44
2013-01-01,Washington,9.2,4.001,25.72,61.08
2014-01-01,Washington,8.84,3.943,25.5,61.7
2015-01-01,Washington,8.34,3.845,25.47,62.34
2016-01-01,Washington,7.96,3.775,25.29,62.96
2017-01-01,Washington,7.49,3.683,25.23,63.59
2018-01-01,Washington,7.1,3.609,25.08,64.2
2019-01-01,Washington,6.66,3.522,25.0,64.82
