Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Wisconsin,18.2,3.5,27.6,50.7
1996-01-01,Wisconsin,19.7,5.2,25.9,49.2
1997-01-01,Wisconsin,19.7,3.5,25.3,51.5
1998-01-01,Wisconsin,18.7,4.7,29.4,47.2
1999-01-01,Wisconsin,17.9,5.8,28.6,47.7
2000-01-01,Wisconsin,18.1,6.0,27.1,48.8
2001-01-01,Wisconsin,18.2,5.4,28.7,47.8
2002-01-01,Wisconsin,18.5,4.9,27.3,49.4
2003-01-01,Wisconsin,17.3,4.7,27.3,50.7
2004-01-01,Wisconsin,16.5,5.4,24.3,53.8
2005-01-01,Wisconsin,15.9,4.9,26.1,53.2
2006-01-01,Wisconsin,15.2,5.6,26.0,53.2
2007-01-01,Wisconsin,14.6,5.0,25.9,54.5
2008-01-01,Wisconsin,14.1,5.7,26.7,53.5
2009-01-01,Wisconsin,12.6,6.1,26.9,54.3
2010-01-01,Wisconsin,13.6,5.5,26.3,54.6
2011-01-01,Wisconsin,13.18,5.8,26.02,54.97
2012-01-01,Wisconsin,12.8,5.769,25.95,55.45
2013-01-01,Wisconsin,12.38,5.844,25.84,55.9
2014-01-01,Wisconsin,11.95,5.902,25.75,56.36
2015-01-01,Wisconsin,11.52,5.967,25.66,56.82
2016-01-01,Wisconsin,11.08,6.031,25.56,57.28
2017-01-01,Wisconsin,10.64,6.097,25.47,57.76
2018-01-01,Wisconsin,10.18,6.163,25.37,58.24
2019-01-01,Wisconsin,9.72,6.231,25.27,58.73
