Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
1995-01-01,Wyoming,19.1,2.9,26.8,51.2
1996-01-01,Wyoming,20.1,4.5,25.1,50.3
1997-01-01,Wyoming,19.5,4.5,25.4,50.6
1998-01-01,Wyoming,19.0,3.9,25.2,52.0
1999-01-01,Wyoming,19.1,4.8,24.9,51.2
2000-01-01,Wyoming,18.2,5.6,25.1,51.1
2001-01-01,Wyoming,17.3,4.9,26.0,51.9
2002-01-01,Wyoming,19.2,4.4,26.5,49.8
2003-01-01,Wyoming,19.8,4.8,26.2,49.1
2004-01-01,Wyoming,16.5,5.2,24.9,53.4
2005-01-01,Wyoming,16.3,5.1,26.7,51.9
2006-01-01,Wyoming,16.4,5.2,24.9,53.5
2007-01-01,Wyoming,17.5,4.6,24.8,53.1
2008-01-01,Wyoming,14.9,4.5,25.4,55.2
2009-01-01,Wyoming,15.3,4.6,26.1,54.0
2010-01-01,Wyoming,14.9,4.6,24.6,55.9
2011-01-01,Wyoming,14.47,4.631,25.5,55.41
2012-01-01,Wyoming,14.98,4.649,25.51,54.83
2013-01-01,Wyoming,15.03,4.706,25.48,54.75
2014-01-01,Wyoming,15.1,4.713,25.5,54.67
2015-01-01,Wyoming,15.17,4.716,25.5,54.59
2016-01-01,Wyoming,15.23,4.719,25.5,54.53
2017-01-01,Wyoming,15.28,4.72,25.5,54.48
2018-01-01,Wyoming,15.32,4.721,25.5,54.43
2019-01-01,Wyoming,15.36,4.722,25.5,54.4
